threshold,dice_mean,dice_std,f1_mean,iou_mean,centroid_error_px_mean,centroid_error_mm_mean
0.5,0.1463020244462439,0.0986085272885709,0.1463020244462439,0.08145145286807244,57.2073058770229,111.73301929106036
0.4,0.12148391104583989,0.08216837585004397,0.12148391104583989,0.0663502864284456,54.258287526483144,105.97321782516241
0.35,0.08196547607549307,0.050733823288152444,0.08196547607549307,0.0433399697185007,56.007394505846655,109.38944239423175
0.3,0.038606936047855034,0.014376662903166991,0.038606936047855034,0.01972906743305296,67.63994449791369,132.10926659748765
0.2,0.023904572799379204,0.005923454561898834,0.023904572799379204,0.0121044511814693,68.30290988053932,133.40412086042838
0.1,0.02387153169925794,0.005913938378863645,0.02387153169925794,0.012087504069008574,68.36725991770835,133.52980452677411
