noise_std,dice_mean,dice_std,iou_mean,iou_std
0.0,0.25609168,0.18469658,0.16020386544004347,0.12651673985907147
0.01,0.13697755,0.22388092,0.09322724762246225,0.16423761846493515
0.05,0.0,0.0,0.0,0.0
